|WXYG        |540   kHz |AM |-   |DA2 |Daytime             |B  |B  |LIC    |SAUK RAPIDS              |MN |US |BMML   -20160706ABU |0.85   kW |-         |-       |-       |161448     |N |45 |36 |18.00 |W |94  |8  |21.00 |HERBERT M. HOPPE REVOCABLE TRUST                                                                    |   0.00 km |   0.00 mi |  0.00 deg |1733234   |
|WXYG        |540   kHz |AM |-   |DA2 |Nighttime           |B  |B  |LIC    |SAUK RAPIDS              |MN |US |BMML   -20160706ABU |0.25   kW |-         |-       |-       |161448     |N |45 |36 |18.00 |W |94  |8  |21.00 |HERBERT M. HOPPE REVOCABLE TRUST                                                                    |   0.00 km |   0.00 mi |  0.00 deg |1733234   |
|WASG        |540   kHz |AM |-   |NDD |Daytime             |D  |B  |LIC    |DAPHNE                   |AL |US |BML    -20161101ABQ |2.5    kW |-         |-       |-       |51141      |N |30 |44 |45.00 |W |88  |5  |39.00 |ALABAMA RADIO CORPORATION                                                                           |   0.00 km |   0.00 mi |  0.00 deg |1743823   |
|WASG        |540   kHz |AM |-   |NDD |Nighttime           |D  |B  |LIC    |DAPHNE                   |AL |US |BML    -20161101ABQ |0.019  kW |-         |-       |-       |51141      |N |30 |44 |44.00 |W |88  |5  |40.00 |ALABAMA RADIO CORPORATION                                                                           |   0.00 km |   0.00 mi |  0.00 deg |1743823   |
|WETC        |540   kHz |AM |-   |DA2 |Daytime             |B  |B  |LIC    |WENDELL-ZEBULON          |NC |US |BMML   -20181227ABC |10.0   kW |-         |-       |-       |18269      |N |35 |52 |9.00  |W |78  |25 |56.00 |DIVINE MERCY RADIO, INC.                                                                            |   0.00 km |   0.00 mi |  0.00 deg |1799538   |
|WETC        |540   kHz |AM |-   |DA2 |Nighttime           |B  |B  |LIC    |WENDELL-ZEBULON          |NC |US |BMML   -20181227ABC |0.5    kW |-         |-       |-       |18269      |N |35 |52 |9.00  |W |78  |25 |56.00 |DIVINE MERCY RADIO, INC.                                                                            |   0.00 km |   0.00 mi |  0.00 deg |1799538   |
|KFYI        |550   kHz |AM |-   |ND1 |Daytime             |B  |B  |LIC    |PHOENIX                  |AZ |US |BL     --           |5.0    kW |-         |-       |-       |63918      |N |33 |23 |17.00 |W |112 |0  |22.00 |AMFM RADIO LICENSES, L.L.C.                                                                         |   0.00 km |   0.00 mi |  0.00 deg |314633    |
|KFYI        |550   kHz |AM |-   |ND1 |Nighttime           |B  |B  |LIC    |PHOENIX                  |AZ |US |BL     --           |1.0    kW |-         |-       |-       |63918      |N |33 |23 |17.00 |W |112 |0  |22.00 |AMFM RADIO LICENSES, L.L.C.                                                                         |   0.00 km |   0.00 mi |  0.00 deg |314633    |
|KLLV        |550   kHz |AM |-   |NDD |Daytime             |D  |B  |LIC    |BREEN                    |CO |US |BL     -19890828AG  |1.8    kW |-         |-       |-       |15879      |N |37 |11 |2.00  |W |108 |4  |54.00 |DAYSTAR RADIO, LTD.                                                                                 |   0.00 km |   0.00 mi |  0.00 deg |132545    |
|KRAI        |550   kHz |AM |-   |DAN |Daytime             |B  |B  |LIC    |CRAIG                    |CO |US |BL     --           |5.0    kW |-         |-       |-       |72436      |N |40 |32 |45.00 |W |107 |31 |52.00 |BLIZZARD BROADCASTING, LLC                                                                          |   0.00 km |   0.00 mi |  0.00 deg |314634    |
